Movie,Genre,Tags
Interstellar,Sci-fi,space future science wormhole
Avengers,Action,hero marvel battle earth
Titanic,Romance,love ship drama ocean
The Matrix,Sci-fi Action,simulation hackers future
Inception,Sci-fi Thriller,dreams mind reality
The Dark Knight,Action,batman joker hero gotham
Toy Story,Animation Family,toys alive friendship
Jurassic Park,Adventure Sci-fi,dinosaurs theme-park escape
The Godfather,Crime Drama,mafia family mob
Avatar,Sci-fi Adventure,alien planet pandora
Pulp Fiction,Crime,mob nonlinear violence
Forrest Gump,Drama Romance,history life running
Gladiator,Action Drama,rome colosseum revenge
Star Wars,Sci-fi Adventure,space jedi empire
The Lion King,Animation Drama,africa lions king
